He 2 1640.43A
He 2 1215.13A
Ne 5 3427.01A
Ne 5 3346.95A
Ne 5 3301.32A
N 4 1486.50A
N 4 1483.32A
N 3 1746.26A
N 3 1748.65A
N 3 1749.67A
N 3 1753.99A
C 4 1550.78A
C 4 1548.19A
O 3 1660.81A
O 3 1666.15A
